OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area,COUNTY_NAME,PREFERRED_CITY
1,98001,98001,33,Standard,148134.7715,526121354,King County,AUBURN
2,98002,98002,33,Standard,105168.4768,204445228.3,King County,AUBURN
3,98003,98003,33,Standard,121645.0699,316981231.6,King County,FEDERAL WAY
4,98004,98004,33,Standard,108801.0633,201451202.9,King County,BELLEVUE
5,98005,98005,33,Standard,116930.3541,211273337.6,King County,BELLEVUE
6,98006,98006,33,Standard,108583.9521,322552208,King County,BELLEVUE
7,98007,98007,33,Standard,113766.5706,116056757.7,King County,BELLEVUE
8,98008,98008,33,Standard,93287.48077,153643021.8,King County,BELLEVUE
9,98010,98010,33,Standard,134379.9799,518397792.8,King County,BLACK DIAMOND
10,98011,98011,33,Standard,73480.17942,197850023.4,King County,BOTHELL
11,98011,98011,61,Standard,2710.689228,150283.7907,Snohomish County,BOTHELL
12,98012,98012,61,Standard,112199.0699,422046666.3,Snohomish County,BOTHELL
13,98014,98014,33,Standard,227524.5337,1160183705,King County,CARNATION
14,98019,98019,33,Standard,312686.6716,3189331497,King County,DUVALL
15,98019,98019,61,Standard,7976.111439,2266669.889,Snohomish County,DUVALL
16,98020,98020,61,Standard,66203.71357,142247023.2,Snohomish County,EDMONDS
17,98021,98021,61,Standard,103819.8006,272544934.8,Snohomish County,BOTHELL
18,98022,98022,33,Standard,734601.5649,11361441816,King County,ENUMCLAW
19,98022,98022,53,Standard,295979.5923,2507633661,Pierce County,ENUMCLAW
20,98023,98023,33,Standard,92184.59534,290551886.5,King County,FEDERAL WAY
21,98024,98024,33,Standard,366255.5162,2194725627,King County,FALL CITY
22,98026,98026,61,Standard,133289.4239,258888373.4,Snohomish County,EDMONDS
23,98027,98027,33,Standard,280090.8618,1588700339,King County,ISSAQUAH
24,98028,98028,33,Standard,75146.22202,173233183.7,King County,KENMORE
25,98029,98029,33,Standard,113455.344,270219334.6,King County,ISSAQUAH
26,98030,98030,33,Standard,94349.81801,200119664.1,King County,KENT
27,98031,98031,33,Standard,116930.4288,228054211.2,King County,KENT
28,98032,98032,33,Standard,162578.1376,480428912,King County,KENT
29,98033,98033,33,Standard,99072.38459,256873975.4,King County,KIRKLAND
30,98034,98034,33,Standard,95926.56934,272328920.7,King County,KIRKLAND
31,98036,98036,61,Standard,111908.701,267158459.1,Snohomish County,LYNNWOOD
32,98037,98037,61,Standard,78136.41594,168863901.9,Snohomish County,LYNNWOOD
33,98038,98038,33,Standard,315896.7661,1649765965,King County,MAPLE VALLEY
34,98039,98039,33,Standard,37222.72696,39346823.58,King County,MEDINA
35,98040,98040,33,Standard,75519.6591,175584208.6,King County,MERCER ISLAND
36,98042,98042,33,Standard,208579.2191,762832084.1,King County,KENT
37,98043,98043,61,Standard,46970.68977,115804612.8,Snohomish County,MOUNTLAKE TERRACE
38,98045,98045,33,Standard,640381.1313,8056291070,King County,NORTH BEND
39,98047,98047,33,Standard,41647.24787,48681262.84,King County,PACIFIC
40,98047,98047,53,Standard,19937.7304,19319883.46,Pierce County,PACIFIC
41,98050,98050,33,Standard,62720.65054,39535965.42,King County,PRESTON
42,98051,98051,33,Standard,211663.3396,1150005810,King County,RAVENSDALE
43,98052,98052,33,Standard,167026.5359,546866727.8,King County,REDMOND
44,98053,98053,33,Standard,199008.5929,771625783.1,King County,REDMOND
45,98055,98055,33,Standard,67549.04016,124512596.4,King County,RENTON
46,98056,98056,33,Standard,91939.80249,198255319.9,King County,RENTON
47,98057,98057,33,Standard,85001.24311,184608915.1,King County,RENTON
48,98058,98058,33,Standard,172557.1506,627622243.9,King County,RENTON
49,98059,98059,33,Standard,146091.3913,462163566.7,King County,RENTON
50,98065,98065,33,Standard,345717.4721,2404508901,King County,SNOQUALMIE
51,98068,98068,33,PO Box,13157.52009,2820205.018,King County,SNOQUALMIE PASS
52,98068,98068,37,PO Box,220130.8185,1770029111,Kittitas County,SNOQUALMIE PASS
53,98070,98070,33,Standard,272819.6934,1010295820,King County,VASHON
54,98072,98072,33,Standard,118806.0699,368741989.4,King County,WOODINVILLE
55,98072,98072,61,Standard,78248.2344,151344185.9,Snohomish County,WOODINVILLE
56,98074,98074,33,Standard,115554.6677,327749795.4,King County,SAMMAMISH
57,98075,98075,33,Standard,126714.367,290322990.1,King County,SAMMAMIISH
58,98077,98077,33,Standard,117061.0954,419740022.6,King County,WOODINVILLE
59,98077,98077,61,Standard,50110.124,75926072.54,Snohomish County,WOODINVILLE
60,98087,98087,61,Standard,68003.51984,156580450.3,Snohomish County,LYNNWOOD
61,98092,98092,33,Standard,266634.9275,1212408006,King County,AUBURN
62,98092,98092,53,Standard,35672.55204,46337339.46,Pierce County,AUBURN
63,98101,98101,33,Standard,23748.4588,14673823.9,King County,SEATTLE
64,98102,98102,33,Standard,37488.78079,43221885.5,King County,SEATTLE
65,98103,98103,33,Standard,72628.55992,143997337.4,King County,SEATTLE
66,98104,98104,33,Standard,36425.11865,20982559.21,King County,SEATTLE
67,98105,98105,33,Standard,77943.09423,97051831.34,King County,SEATTLE
68,98106,98106,33,Standard,80455.79013,148002386.9,King County,SEATTLE
69,98107,98107,33,Standard,53097.13549,65501026.06,King County,SEATTLE
